company_name,ticker,exchange,sector,industry,status,ipo_date,issue_price,price_band_low,price_band_high,listing_price,current_price,offer_size,market_cap_at_ipo,current_market_cap,gmp,subscription,ai_score,ai_rating,ai_confidence,source,country
Go Fashion India Ltd,GOCOLORS,NSE,Consumer Cyclical,Apparel,listed,2021-01-01,,,,,,,,,,,68.6,Average IPO,Medium,expansion_db,IN
TechD Cybersec.,,BSE,,,listed,2025-09-22,,193.0,193.0,,624.0,,,144.0,,,68.5,Average IPO,Medium,ipo_data.json,
VMS TMT,,BSE,,,listed,2025-09-24,,99.0,99.0,,46.03,,,491.0,,,68.3,Average IPO,Medium,ipo_data.json,
ICICI Bank Ltd,ICICIBANK,NSE,Financial,Banks,listed,1994-01-01,,,,,,,,,,,68.3,Average IPO,Medium,expansion_db,IN
FDC Ltd,FDC,NSE,Healthcare,Pharmaceuticals,listed,1995-01-01,,,,,,,,,,,68.3,Average IPO,Medium,expansion_db,IN
LGT Business,,BSE,,,listed,2025-08-26,,107.0,107.0,,48.39,,,100.0,,,68.2,Average IPO,Medium,ipo_data.json,
Paramount Specia,,BSE,,,listed,2024-09-25,,59.0,59.0,,29.05,,,116.0,,,68.2,Average IPO,Medium,ipo_data.json,
Trom Industries,,BSE,,,listed,2024-08-01,,115.0,115.0,,57.0,,,106.0,,,68.2,Average IPO,Medium,ipo_data.json,
Globus Spirits Ltd,GLOBUSSPR,NSE,Consumer Defensive,Beverages,listed,2007-01-01,,,,,,,,,,,68.2,Average IPO,Medium,expansion_db,IN
GMM Pfaudler Ltd,GMMPFAUDLR,NSE,Industrials,Industrial Equipment,listed,2007-01-01,,,,,,,,,,,68.2,Average IPO,Medium,expansion_db,IN
S&P Global Inc.,SPGI,NYSE,Financial,Financial Services,listed,1929-01-01,,,,,,,,,,,68.2,Average IPO,Medium,expansion_db,US
Home Depot Inc.,HD,NYSE,Consumer Cyclical,Home Improvement,listed,,,,,,,,,,,,68.1,Average IPO,Medium,ipo_data.json,
GSK plc,GSK,NYSE,Healthcare,Drug Manufacturers,listed,1947-01-01,,,,,,,,,,,68.1,Average IPO,Medium,expansion_db,GB
Woolworths Group Ltd,WOW,ASX,Consumer Defensive,Discount Stores,listed,1993-01-01,,,,,,,,,,,67.8,Average IPO,Medium,expansion_db,AU
AMETEK Inc.,AME,NYSE,Industrials,Industrial Equipment,listed,1978-01-01,,,,,,,,,,,67.8,Average IPO,Medium,expansion_db,US
Meta Platforms Inc.,META,NASDAQ,Technology,Social Media,listed,,,,,,,,,,,,67.7,Average IPO,Medium,ipo_data.json,
Zomato Ltd,ZOMATO,NSE,Technology,Internet Services,listed,2021-01-01,,,,,,,,,,,67.7,Average IPO,Medium,expansion_db,IN
Trident Ltd,TRIDENT,NSE,Consumer Cyclical,Textiles,listed,2003-01-01,,,,,,,,,,,67.7,Average IPO,Medium,expansion_db,IN
Droneacharya Aerial Innov,DRONE,NSE,Technology,Drones,listed,2024-01-01,,,,,,,,,,,67.7,Average IPO,Medium,expansion_db,IN
Ratnamani Metals & Tubes,RATNAMANI,NSE,Basic Materials,Steel,listed,2007-01-01,,,,,,,,,,,67.6,Average IPO,Medium,expansion_db,IN
Nukleus Office,,BSE,,,listed,2025-03-04,,234.0,234.0,,214.0,,,94.0,,,67.5,Average IPO,Medium,ipo_data.json,
Datadog Inc.,DDOG,NASDAQ,Technology,Software,listed,2019-01-01,,,,,,,,,,,67.4,Average IPO,Medium,expansion_db,US
Valencia India,,BSE,,,listed,2025-07-03,,110.0,110.0,,17.0,,,143.0,,,67.3,Average IPO,Medium,ipo_data.json,
Bharat Forge Ltd,BHARATFORG,NSE,Consumer Cyclical,Auto Parts,listed,2003-01-01,,,,,,,,,,,67.3,Average IPO,Medium,expansion_db,IN
Rajnandini Metal Ltd,RAJNMETAL,NSE,Basic Materials,Metals & Mining,listed,2024-01-01,,,,,,,,,,,67.3,Average IPO,Medium,expansion_db,IN
Astonea Labs,,BSE,,,listed,2025-06-03,,135.0,135.0,,267.9,,,142.0,,,67.2,Average IPO,Medium,ipo_data.json,
IRM Energy,,BSE,,,listed,2023-10-26,,505.0,505.0,,261.3,,,2074.0,,,67.2,Average IPO,Medium,ipo_data.json,
Yashraj Biotechnology Ltd,YASHRAJ,NSE,Healthcare,Biotechnology,listed,2024-01-01,,,,,,,,,,,67.2,Average IPO,Medium,expansion_db,IN
AbbVie Inc.,ABBV,NYSE,Healthcare,Drug Manufacturers,listed,,,,,,,,,,,,67.0,Average IPO,Medium,ipo_data.json,
Bajaj Electricals Ltd,BAJAJELEC,NSE,Consumer Cyclical,Consumer Electronics,listed,2007-01-01,,,,,,,,,,,67.0,Average IPO,Medium,expansion_db,IN
Indian Overseas Bank,IOB,NSE,Financial,Banks,listed,1995-01-01,,,,,,,,,,,67.0,Average IPO,Medium,expansion_db,IN
Srivari Spices & Foods,SRIVARI,NSE,Consumer Defensive,Food,listed,2024-01-01,,,,,,,,,,,67.0,Average IPO,Medium,expansion_db,IN
LG Energy Solution Ltd,LGES,KRX,Technology,Batteries,listed,,,,,,,,,,,,66.9,Average IPO,Medium,ipo_data.json,
CrowdStrike Holdings Inc.,CRWD,NASDAQ,Technology,Cybersecurity,listed,2019-01-01,,,,,,,,,,,66.9,Average IPO,Medium,expansion_db,US
Finolex Cables Ltd,FINPIPE,NSE,Industrials,Electrical Equipment,listed,1995-01-01,,,,,,,,,,,66.9,Average IPO,Medium,expansion_db,IN
LIC Housing Finance Ltd,LICHSGFIN,NSE,Financial,Housing Finance,listed,2002-01-01,,,,,,,,,,,66.9,Average IPO,Medium,expansion_db,IN
Digidrive Distributors Ltd,DIGIDRIVE,NSE,Consumer Cyclical,E-Commerce,listed,2024-01-01,,,,,,,,,,,66.9,Average IPO,Medium,expansion_db,IN
Saianand Commercials Ltd,SAIANAND,NSE,Consumer Cyclical,Trading,listed,2024-01-01,,,,,,,,,,,66.9,Average IPO,Medium,expansion_db,IN
Wardwizard Healthcare Ltd,WARDWIZ,NSE,Healthcare,Healthcare Services,listed,2024-01-01,,,,,,,,,,,66.9,Average IPO,Medium,expansion_db,IN
National Australia Bank,NAB,ASX,Financial,Banks,listed,1991-01-01,,,,,,,,,,,66.8,Average IPO,Medium,expansion_db,AU
Graphisads,,BSE,,,listed,2023-12-13,,111.0,111.0,,30.9,,,203.0,,,66.7,Average IPO,Medium,ipo_data.json,
Balrampur Chini Mills Ltd,BALRAMCHIN,NSE,Consumer Defensive,Sugar,listed,1995-01-01,,,,,,,,,,,66.7,Average IPO,Medium,expansion_db,IN
EasyJet PLC,EZJ,LSE,Industrials,Airlines,listed,2000-01-01,,,,,,,,,,,66.7,Average IPO,Medium,expansion_db,GB
ZoomInfo Technologies Inc.,ZI,NASDAQ,Technology,Software,listed,2020-01-01,,,,,,,,,,,66.7,Average IPO,Medium,expansion_db,US
Qualitek Labs,,BSE,,,listed,2024-01-29,,63.0,63.0,,410.0,,,74.0,,,66.6,Average IPO,Medium,ipo_data.json,
Engineers India Ltd,ENGINERSIN,NSE,Industrials,Engineering,listed,1996-01-01,,,,,,,,,,,66.6,Average IPO,Medium,expansion_db,IN
Exide Industries Ltd,EXIDEIND,NSE,Consumer Cyclical,Auto Parts,listed,2003-01-01,,,,,,,,,,,66.6,Average IPO,Medium,expansion_db,IN
Tata Chemicals Ltd,TATACHEM,NSE,Basic Materials,Chemicals,listed,1995-01-01,,,,,,,,,,,66.6,Average IPO,Medium,expansion_db,IN
Tata Investment Corp Ltd,TATAINVEST,NSE,Financial,Financial Services,listed,1995-01-01,,,,,,,,,,,66.6,Average IPO,Medium,expansion_db,IN
DigitalOcean Holdings Inc.,DOCN,NYSE,Technology,Software,listed,2021-01-01,,,,,,,,,,,66.6,Average IPO,Medium,expansion_db,US
SK Hynix Inc.,HXSCL,OTC,Technology,Semiconductors,listed,,,,,,,,,,,,66.5,Average IPO,Medium,ipo_data.json,
Union Bank of India,UNIONBANK,NSE,Financial,Banks,listed,1995-01-01,,,,,,,,,,,66.5,Average IPO,Medium,expansion_db,IN
Indian Hotels Co Ltd,INDHOTEL,NSE,Consumer Cyclical,Hotels,listed,1995-01-01,,,,,,,,,,,66.5,Average IPO,Medium,expansion_db,IN
Cloudflare Inc.,NET,NYSE,Technology,Software,listed,2019-01-01,,,,,,,,,,,66.5,Average IPO,Medium,expansion_db,US
Walmart Inc.,WMT,NYSE,Consumer Defensive,Discount Stores,listed,,,,,,,,,,,,66.3,Average IPO,Medium,ipo_data.json,
Prism Johnson Ltd,PRISMJOHNS,NSE,Basic Materials,Cement,listed,2007-01-01,,,,,,,,,,,66.3,Average IPO,Medium,expansion_db,IN
Duolingo Inc.,DUOL,NASDAQ,Technology,Software,listed,2021-01-01,,,,,,,,,,,66.3,Average IPO,Medium,expansion_db,US
GHCL Ltd,GHCL,NSE,Basic Materials,Chemicals,listed,1995-01-01,,,,,,,,,,,66.3,Average IPO,Medium,expansion_db,IN
INDIA SHELTE FIN,,BSE,,,listed,2023-12-20,,487.0,487.0,,756.7,,,5295.0,,,66.2,Average IPO,Medium,ipo_data.json,
Canara Bank,CANBK,NSE,Financial,Banks,listed,1995-01-01,,,,,,,,,,,66.2,Average IPO,Medium,expansion_db,IN
Commonwealth Bank of Aust.,CBA,ASX,Financial,Banks,listed,1991-01-01,,,,,,,,,,,66.2,Average IPO,Medium,expansion_db,AU
Netweb Technologies India,NETWEB,NSE,Technology,Software,listed,2023-01-01,,,,,,,,,,,66.2,Average IPO,Medium,expansion_db,IN
Wonder Fibromats Ltd,WONDERFIB,NSE,Consumer Cyclical,Textiles,listed,2024-01-01,,,,,,,,,,,66.2,Average IPO,Medium,expansion_db,IN
Visa Inc.,V,NYSE,Financial,Credit Services,listed,,,,,,,,,,,,66.1,Average IPO,Medium,ipo_data.json,
Zoom Video Communications,ZM,NASDAQ,Technology,Software,listed,2019-01-01,,,,,,,,,,,66.1,Average IPO,Medium,expansion_db,US
GlobalFoundries Inc.,GFS,NASDAQ,Technology,Semiconductors,listed,2021-01-01,,,,,,,,,,,66.1,Average IPO,Medium,expansion_db,US
GE Shipping Co Ltd,GESHIP,NSE,Industrials,Logistics,listed,2004-01-01,,,,,,,,,,,66.1,Average IPO,Medium,expansion_db,IN
Om Metallogic,,BSE,,,listed,2025-10-07,,83.0,83.0,,18.62,,,66.0,,,66.0,Average IPO,Medium,ipo_data.json,
Accent Microcell,,BSE,,,listed,2023-12-15,,123.0,123.0,,477.4,,,295.0,,,66.0,Average IPO,Medium,ipo_data.json,
Pfizer Inc.,PFE,NYSE,Healthcare,Pharmaceuticals,listed,1942-01-01,,,,,,,,,,,66.0,Average IPO,Medium,expansion_db,US
Marathon Nextgen Realty,MARATHON,NSE,Real Estate,Real Estate Development,listed,2007-01-01,,,,,,,,,,,66.0,Average IPO,Medium,expansion_db,IN
Jiyo Eco Friendly Agricult,JIYOECO,NSE,Consumer Defensive,Food,listed,2024-01-01,,,,,,,,,,,66.0,Average IPO,Medium,expansion_db,IN
Studio LSD,,BSE,,,listed,2025-08-25,,54.0,54.0,,10.3,,,280.0,,,65.9,Average IPO,Medium,ipo_data.json,
Swiggy,SWIGGY,BSE,,,listed,2024-11-13,,316.0,316.0,,250.6,"₹10,000 Cr",,87299.0,,,65.9,Average IPO,Medium,ipo_data.json,India
Technowrapar Software,TECHNOWRA,NSE,Technology,Software,listed,2024-01-01,,,,,,,,,,,65.9,Average IPO,Medium,expansion_db,IN
Shreenath Paper,,BSE,,,listed,2025-03-05,,44.0,44.0,,13.4,,,86.0,,,65.8,Average IPO,Medium,ipo_data.json,
DOMS Industries,,BSE,,,listed,2023-12-20,,790.0,790.0,,2093.1,,,4794.0,,,65.8,Average IPO,Medium,ipo_data.json,
Techknowgreen,,BSE,,,listed,2023-09-27,,86.0,86.0,,147.85,,,63.0,,,65.8,Average IPO,Medium,ipo_data.json,
Relaxo Footwears Ltd,RELAXO,NSE,Consumer Cyclical,Footwear,listed,2006-01-01,,,,,,,,,,,65.8,Average IPO,Medium,expansion_db,IN
Vinsys IT Serv.,,BSE,,,listed,2023-08-11,,127.0,127.0,,402.7,,,188.0,,,65.7,Average IPO,Medium,ipo_data.json,
Licious,LICIOUS,NSE,Consumer Defensive,Food,listed,2024-01-01,,,,,,,,,,,65.7,Average IPO,Medium,expansion_db,IN
JITF Infralogistics Ltd,JITFINFRA,NSE,Industrials,Logistics,listed,2024-01-01,,,,,,,,,,,65.7,Average IPO,Medium,expansion_db,IN
Naapbooks Ltd,NAAPBOOKS,NSE,Technology,Software,listed,2024-01-01,,,,,,,,,,,65.7,Average IPO,Medium,expansion_db,IN
Patel Chem,,BSE,,,listed,2025-08-01,,84.0,84.0,,84.0,,,209.0,,,65.6,Average IPO,Medium,ipo_data.json,
PDP Shipping,,BSE,,,listed,2025-03-18,,135.0,135.0,,59.0,,,40.0,,,65.6,Average IPO,Medium,ipo_data.json,
Newmalayalam St.,,BSE,,,listed,2024-12-27,,90.0,90.0,,24.5,,,156.0,,,65.6,Average IPO,Medium,ipo_data.json,
Kalana Ispat,,BSE,,,listed,2024-09-26,,66.0,66.0,,21.0,,,86.0,,,65.6,Average IPO,Medium,ipo_data.json,
Ecos (India),,BSE,,,listed,2024-09-04,,334.0,334.0,,125.51,,,2004.0,,,65.6,Average IPO,Medium,ipo_data.json,
Manglam Infra,,BSE,,,listed,2024-07-31,,56.0,56.0,,13.9,,,99.0,,,65.6,Average IPO,Medium,ipo_data.json,
S J Logistics (I,,BSE,,,listed,2023-12-19,,118.0,118.0,,380.75,,,181.0,,,65.6,Average IPO,Medium,ipo_data.json,
Westpac Banking Corp,WBC,ASX,Financial,Banks,listed,1993-01-01,,,,,,,,,,,65.6,Average IPO,Medium,expansion_db,AU
Moving Media,,BSE,,,listed,2025-07-03,,70.0,70.0,,34.95,,,132.0,,,65.5,Average IPO,Medium,ipo_data.json,
Prostarm Info,,BSE,,,listed,2025-06-03,,105.0,105.0,,137.72,,,618.0,,,65.5,Average IPO,Medium,ipo_data.json,
British American Tobacco,BATS,LSE,Consumer Defensive,Tobacco,listed,1980-01-01,,,,,,,,,,,65.5,Average IPO,Medium,expansion_db,GB
Berger Paints India Ltd,BERGEPAINT,NSE,Basic Materials,Chemicals,listed,1995-01-01,,,,,,,,,,,65.4,Average IPO,Medium,expansion_db,IN
Jyoti CNC Automation Ltd,JYOTICNC,NSE,Industrials,Industrial Equipment,listed,2024-01-01,,,,,,,,,,,65.4,Average IPO,Medium,expansion_db,IN
Punjab National Bank,PNB,NSE,Financial,Banks,listed,1995-01-01,,,,,,,,,,,65.3,Average IPO,Medium,expansion_db,IN
IndiaMart InterMesh Ltd,INDIAMART,NSE,Technology,Internet Services,listed,2019-01-01,,,,,,,,,,,65.3,Average IPO,Medium,expansion_db,IN
Croissance Agriculture Ltd,CROISSANCE,NSE,Consumer Defensive,Food,listed,2024-01-01,,,,,,,,,,,65.3,Average IPO,Medium,expansion_db,IN
Dentach International Ltd,DENTACH,NSE,Healthcare,Medical Devices,listed,2024-01-01,,,,,,,,,,,65.3,Average IPO,Medium,expansion_db,IN
Euro Pratik Sale,,BSE,,,listed,2025-09-23,,247.0,247.0,,254.6,,,2524.0,,,65.2,Average IPO,Medium,ipo_data.json,
NAPS Global,,BSE,,,listed,2025-03-11,,90.0,90.0,,42.8,,,40.0,,,65.2,Average IPO,Medium,ipo_data.json,
Presstonic Engi.,,BSE,,,listed,2023-12-18,,36.0,36.0,,31.55,,,55.0,,,65.2,Average IPO,Medium,ipo_data.json,
Nykaa (FSN E-Commerce),NYKAA,NSE,Consumer Cyclical,E-Commerce,listed,2021-01-01,,,,,,,,,,,65.2,Average IPO,Medium,expansion_db,IN
C K K Retail,,BSE,,,listed,2026-02-06,,163.0,163.0,,147.0,,,316.0,,,65.1,Average IPO,Medium,ipo_data.json,
TruAlt Bioenergy,,BSE,,,listed,2025-10-03,,496.0,496.0,,505.15,,,4253.0,,,65.1,Average IPO,Medium,ipo_data.json,
Vivid Electromech,,BSE,,,listed,2026-04-07,,555.0,555.0,,967.1,,,493.0,,,65.0,Average IPO,Medium,ipo_data.json,
Exato Technologies,,BSE,,,listed,2025-12-05,,140.0,140.0,,363.35,,,141.0,,,65.0,Average IPO,Medium,ipo_data.json,
Afcons Infrastr.,,BSE,,,listed,2024-11-04,,463.0,463.0,,319.6,,,17026.0,,,65.0,Average IPO,Medium,ipo_data.json,
TGIF Agribusines,,BSE,,,listed,2024-05-15,,93.0,93.0,,96.5,,,24.0,,,65.0,Average IPO,Medium,ipo_data.json,
Sony Group Corporation,SONY,NYSE,Technology,Consumer Electronics,listed,,,,,,,,,,,,65.0,Average IPO,Medium,ipo_data.json,
Adani Total Gas Ltd,ATGL,NSE,Utilities,Gas Distribution,listed,2018-01-01,,,,,,,,,,,65.0,Average IPO,Medium,expansion_db,IN
KPIT Technologies Ltd,KPITTECH,NSE,Technology,Software,listed,2014-01-01,,,,,,,,,,,65.0,Average IPO,Medium,expansion_db,IN
Emami Ltd,EMAMILTD,NSE,Consumer Defensive,Personal Care,listed,2006-01-01,,,,,,,,,,,65.0,Average IPO,Medium,expansion_db,IN
India Cements Ltd,INDIACEM,NSE,Basic Materials,Cement,listed,1995-01-01,,,,,,,,,,,65.0,Average IPO,Medium,expansion_db,IN
Dynatrace Inc.,DT,NYSE,Technology,Software,listed,2019-01-01,,,,,,,,,,,65.0,Average IPO,Medium,expansion_db,US
New Relic Inc.,NEWR,NYSE,Technology,Software,listed,2014-01-01,,,,,,,,,,,65.0,Average IPO,Medium,expansion_db,US
Hyundai Motor Company,HYMTF,OTC,Consumer Cyclical,Auto Manufacturers,listed,,,,,,,,,,,,64.9,Average IPO,Medium,ipo_data.json,
MetaOptics,MOT,NASDAQ,,,upcoming,,,8.15,8.15,,,$33M,,,,,64.9,Average IPO,Medium,ipos.json,USA
Bajaj Finance Ltd,BAJFINANCE,NSE,Financial,Financial Services,listed,2003-01-01,,,,,,,,,,,64.9,Average IPO,Medium,expansion_db,IN
Nanoch EMerge Ltd,NANOCH,NSE,Technology,Semiconductors,listed,2024-01-01,,,,,,,,,,,64.9,Average IPO,Medium,expansion_db,IN
Sagar Diamonds Ltd,SAGARDIA,NSE,Consumer Cyclical,Luxury Goods,listed,2024-01-01,,,,,,,,,,,64.9,Average IPO,Medium,expansion_db,IN
